Key,TR,EN
settings.title,AYARLAR,SETTINGS
settings.resolution,Çözünürlük,Resolution
settings.windowmode,Pencere modu,Window mode
settings.quality,Grafik kalitesi,Graphics quality
settings.fov,Görüş açısı,Field of view
settings.sensitivity,Fare hassasiyeti,Mouse sensitivity
settings.headbob,Kamera sallanması,Head bob
settings.mastervolume,Ana ses,Master volume
settings.effectsvolume,Efekt sesi,Effects volume
settings.musicvolume,Müzik,Music
settings.uiscale,Arayüz ölçeği,Interface scale
settings.screenflash,Ekran parlaması,Screen flash
settings.colorblind,Renk körlüğü,Colourblind mode
settings.language,Dil,Language
settings.resettutorial,Eğitimi yeniden başlat,Restart tutorial
settings.hint.nav,Yukarı/Aşağı seç · Sol/Sağ değiştir · O/Esc kapat,Up/Down select · Left/Right change · O/Esc close
common.on,Açık,On
common.off,Kapalı,Off
window.windowed,Pencere,Windowed
window.fullscreen,Tam Ekran,Fullscreen
window.borderless,Çerçevesiz,Borderless
quality.low,Düşük,Low
quality.medium,Orta,Medium
quality.high,Yüksek,High
quality.epic,Epik,Epic
colorblind.off,Kapalı,Off
colorblind.redgreen,Kırmızı-Yeşil,Red-Green
colorblind.blueyellow,Mavi-Sarı,Blue-Yellow
action.moveforward,İleri,Move forward
action.moveback,Geri,Move back
action.moveleft,Sola,Strafe left
action.moveright,Sağa,Strafe right
action.run,Koş,Run
action.jump,Zıpla,Jump
action.interact,Etkileşim,Interact
action.knead,Yoğurma vuruşu,Knead
action.wrap,Dürümü sar,Wrap
action.shelf,Rafa kaldır,Shelve
action.tablet,Tablet,Tablet
action.settings,Ayarlar,Settings
action.pause,Duraklat,Pause
settings.keybinds,Tuş atamaları,Key bindings
settings.keybinds.hint,Enter ile yeniden ata · R varsayılana döndür,Enter to rebind · R to reset
settings.keybinds.press,Yeni tuşa bas...,Press a key...
settings.keybinds.unbound,(atanmamış),(unbound)
settings.keybinds.reset,Tuş atamaları varsayılana döndü,Key bindings reset to defaults
tablet.title,TABLET,TABLET
tablet.owned,KURULU,OWNED
tablet.unlocked,AÇILDI,UNLOCKED
tab.stok,Stok,Stock
tab.tarifler,Tarifler,Recipes
tab.fiyatlar,Fiyatlar,Prices
tab.dukkan,Dükkân,Shop
tab.tedarikci,Tedarikçi,Supplier
tab.rakipler,Rakipler,Rivals
tab.yorumlar,Yorumlar,Reviews
tab.gorevler,Görevler,Quests
tab.personel,Personel,Staff
